Year,Marks,Model,Body Type,Mileage,Engine Size,Transmission,Fuel Type,Price($),City, Car Type
2019,Mercedes-Benz,A-Class,Hatchback,"89,811",2.0L,Sports Automatic Dual Clutch,Petrol,32490,Queensland,Used
2024,Hyundai,Santa Fe,SUV,"4,558",1.6L,Automatic,Hybrid,58150,Western Australia,Demo
2023,Toyota,Landcruiser,N/A,"16,417",4.5L,Manual,Diesel,90990,Queensland,Used
2024,Isuzu,D-MAX,Ute,"5,200",3.0L,Sports Automatic,Diesel,50990,Victoria,Demo
2019,Toyota,Fortuner,SUV,"42,178",2.8L,Automatic,Diesel,47990,Queensland,Used
2024,Mazda,6,Sedan,N/A,2.5L,Sports Automatic,Petrol,49190,N/A,Available to order
2016,Holden,Trax,SUV,"94,073",1.4L,Automatic,Petrol,12558,Victoria,Used
2025,Chery,Tiggo 4 Pro,SUV,13,1.5L,Constantly Variable Transmission,Petrol,26990,Victoria,New
2018,Mazda,6,Sedan,"79,614",2.5L,Sports Automatic,Petrol,21999,Victoria,Used
2019,Volkswagen,Golf,Hatchback,"41,786",1.4L,Sports Automatic Dual Clutch,Petrol,24090,N/A,Used
2020,Toyota,Camry,Sedan,"62,375",2.5L,Constantly Variable Transmission,Hybrid,27750,New South Wales,Used
2024,Honda,CR-V,SUV,N/A,1.5L,Constantly Variable Transmission,Petrol,43900,N/A,Available to order
2019,Volkswagen,Golf,Hatchback,"32,912",1.4L,Sports Automatic Dual Clutch,Petrol,22790,N/A,Used
2020,Subaru,XV,SUV,"54,447",2.0L,Constantly Variable Transmission,Petrol,27990,Queensland,Used
2018,Holden,Commodore,Sedan,"80,053",3.6L,Sports Automatic,Petrol,19990,Queensland,Used
2022,Mazda,CX-5,SUV,"64,029",2.5L,Sports Automatic,Petrol,29880,Victoria,Used
2024,Mazda,CX-3,SUV,10,2.0L,Sports Automatic,Petrol,29990,Victoria,New
2024,Mazda,6,Wagon,N/A,2.5L,Sports Automatic,Petrol,53890,N/A,Available to order
2022,Tesla,Model 3,Sedan,"9,927",N/A,Reduction Gear,Electric,45495,N/A,Used
2024,Hyundai,Tucson,SUV,"13,114",2.0L,Automatic,Petrol,34990,Queensland,Used
2024,GWM,Ute,Ute,15,2.0L,Sports Automatic,Diesel,32585,Victoria,Demo
2025,Hyundai,Venue,SUV,"2,012",1.6L,Automatic,Petrol,25890,Queensland,Demo
2025,Kia,Sorento,SUV,N/A,2.2L,Sports Automatic Dual Clutch,Diesel,59999,Victoria,New
2024,Mazda,6,Sedan,N/A,2.5L,Sports Automatic,Petrol,40960,N/A,Available to order
2020,Jeep,Wrangler,SUV,"61,107",2.2L,Automatic,Diesel,67990,Queensland,Used
2025,GWM,Cannon,Ute,19,2.4L,Sports Automatic,Diesel,43085,New South Wales,New
2018,Toyota,Corolla,Hatchback,"79,167",1.8L,Manual,Petrol,18490,N/A,Used
2022,Tesla,Model 3,Sedan,"16,751",N/A,Reduction Gear,Electric,45990,Western Australia,Used
2018,Mazda,CX-5,SUV,"62,688",2.5L,Sports Automatic,Petrol,23956,South Australia,Used
